employeeID,firstName,lastName,dateStarted,telephone,email
1,Roda,Abdullahi,2019-10-11,58490938432,hamdiahmed777@gmail.com
2,Velma,Lamb,2019-01-10,20384056432,hamdiahmed777@gmail.com
3,Hamdi,Ahmed,2019-03-27,39876526752,hamdiahmed777@gmail.com
6,Antoinette,Stapleton,2020-06-11,29384596781,hamdiahmed777@gmail.com
7,Yousuf,Abdalla,2023-10-05,49690976542,hamdiahmed777@gmail.com
8,Marianne,Egueh,2023-10-10,20304050405,hamdiahmed777@gmail.com
9,dsad,asdasd,2010-01-03,94030432102,hamdiahmed777@gmail.com
10,maryama-hodan,musa,2010-01-01,90296979797,hamdiahmed777@gmail.com
11,halima,hussein,2010-01-01,05060706050,hamdiahmed777@gmail.com
12,Yousuf,Abdalla,2022-01-01,29394939492,hamdiahmed777@gmail.com
13,Run,Warsame,2022-01-01,20203020302,hamdiahmed777@gmail.com
20,testing,ahah,2010-01-01,30405094932,hamdiahmed777@gmail.com
25,Siobhan,Cafferkey,2020-06-10,92903940592,hamdiahmed777@gmail.com
34,Foos,Farah,2022-01-01,20304030403,hamdiahmed777@gmail.com
35,Ifrah,Faheye,2022-01-01,20304050606,hamdiahmed777@gmail.com
38,Mona,Yusuf,2024-07-01,NULL,NULL
39,Safiya,Abdi,2010-01-01,NULL,NULL
40,Amal,Rashid,2022-10-01,NULL,NULL
41,Zainab,Elmi,2021-01-01,NULL,NULL
42,"Abdi Fatah",Abdi,2020-01-01,NULL,NULL
43,Cynthia,Fernandes,2019-01-01,NULL,NULL
44,Marta,Inkles,2019-01-01,NULL,NULL
45,Samiya,Beckford,2019-01-01,NULL,NULL
46,Muraayo,Roble,2010-01-01,NULL,NULL
47,Fadumo,Mohamed,2020-01-01,NULL,NULL
48,Najma,Saed,2020-01-01,NULL,NULL
49,Najma,Abdullahi,2010-01-01,NULL,NULL
50,Liban,Abdullahi,2025-04-04,NULL,NULL
51,Adan,Abdule,2024-01-01,NULL,NULL
52,Fowsiya,Mahdi,2023-01-01,NULL,NULL
53,Muna,Farah,2025-04-04,NULL,NULL
54,farhiyo,elmi,2010-01-01,NULL,NULL
55,Hani,Kalinle,2010-01-01,NULL,NULL
56,Fahima,Abdi,2025-01-01,NULL,NULL
57,mohamed,haji,2020-01-01,NULL,NULL
58,khadra,omar,2020-01-01,NULL,NULL
60,nasra,abdi,2022-01-01,NULL,NULL
61,Elba,Rage,2022-01-01,NULL,NULL
